state_co	state_id	year	year2	year3	ch_inc_r	ch_unemp	ch_1824	ch_2534	ch_rev10	ch_wel10	ch_vio	ch_pro	ch_black	ch_hisp	ch_metro	ch_pover	ch_relig	ch_gini	ch_pol10	ch_incom	ch_ideo	ch_drugs	ch_gover	ch_pregu	ch_volgu	ch_detse	ch_detpr	ch_detvo	ch_tisp	ch_tisvi	ch_2stk	ch_3stk	ch_dr1a	ch_dr1b	ch_dr2a	ch_dr2b	ch_cocen	ch_mands	lg_inc_r	lg_unemp	lg_1824	lg_2534	lg_rev10	lg_wel10	lg_vio	lg_pro	lg_black	lg_hisp	lg_metro	lg_pover	lg_relig	lg_gini	lg_pol10	lg_incom	lg_ideo	lg_drugs	lg_gover	lg_pregu	lg_volgu	lg_detse	lg_detpr	lg_detvo	lg_tisp	lg_tisvi	lg_2stk	lg_3stk	lg_dr1a	lg_dr1b	lg_dr2a	lg_dr2b	lg_cokee	lg_mands	d_1978	d_1981	d_1984	d_1987	d_1990	d_1993	d_1996	d_1999	d_2002	EST_RA
5	Arkansas	1981	81-78	1977	28	1	.159999996423721	.439999997615814	7426	733	12.25	457.799987792969	-.100000001490116	.232999995350838	1	2.28999996185303	0	0	9.80020046234131	726	-66.3047714233398	726	0	0	0	0	0	0	0	0	0	0	0	-639	24	12	0	5	115	6.59999990463257	12	14.210000038147	191506	28111	322.950012207031	3018.10009765625	16.5	.550000011920929	38	19.2099990844727	28.2999992370605	.388999998569489	183.416397094727	14503	37.368221282959	.0520000010728836	0	0	0	0	0	0	33	0	1	0	120	999	24	60	2	0	0	1	0	0	0	0	0	0	0	1
5	Arkansas	1984	84-87	1978	47	2.5	-.230000004172325	.829999983310699	53001	26	-37.5200004577637	-273	-.100000001490116	.00100000004749745	0	.100000001490116	0	0	9.32100009918213	408	-70.0718688964844	408	0	0	0	0	0	0	0	0	0	0	0	639	-12	48	0	0	143	7.59999990463257	12.1599998474121	14.6499996185303	198932	28844	335.200012207031	3475.89990234375	16.3999996185303	.782999992370605	39	21.5	28.2999992370605	.388999998569489	193.216598510742	15229	28.9365501403809	.0480000004172325	0	0	0	0	0	0	33	0	1	0	120	360	48	72	2	5	0	0	1	0	0	0	0	0	0	1
5	Arkansas	1987	87-84	1979	37	-1.39999997615814	-.310000002384186	.340000003576279	-26079	4594	97.129997253418	327	-.200000002980232	.0240000002086163	0	-.300000011920929	4.09999990463257	.0160000007599592	22.557300567627	1546	-81.8319931030273	1546	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	190	10.1000003814697	11.9300003051758	15.4799995422363	251933	28870	297.679992675781	3202.89990234375	16.2999992370605	.783999979496002	39	21.6000003814697	28.2999992370605	.388999998569489	202.53759765625	15637	41.1353187561035	.0450000017881393	0	0	0	0	0	0	33	0	1	0	120	999	36	120	2	5	0	0	0	1	0	0	0	0	0	1
5	Arkansas	1990	90-87	1980	50	-1.5	-.920000016689301	.209999993443489	66787	11321	78.879997253418	552.099975585938	-.100000001490116	.028999999165535	5	-3	0	0	43.1488990783691	1439	-94.6447677612305	1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	227	8.69999980926514	11.6199998855591	15.8199996948242	225854	33464	394.809997558594	3529.89990234375	16.1000003814697	.808000028133392	39	21.2999992370605	32.4000015258789	.405000001192093	225.09489440918	17183	40.6966705322265	.0469999983906746	0	0	0	0	0	0	33	0	1	0	120	999	36	180	2	5	0	0	0	0	1	0	0	0	0	1
5	Arkansas	1993	93-90	1981	50	.100000001490116	-.509999990463257	-1.45000004768372	-31660	16954	102.839996337891	103.199996948242	0	.126000002026558	1	-.899999976158142	0	0	22.2780990600586	941	-99.6425704956054	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	7.19999980926514	10.6999998092651	16.0300006866455	292641	44785	473.690002441406	4082	16	.837000012397766	44	18.2999992370605	32.4000015258789	.405000001192093	268.243804931641	18622	53.9481010437012	.0439999997615814	0	0	0	0	0	0	33	0	1	0	120	999	36	180	5	5	0	0	0	0	0	1	0	0	0	1
5	Arkansas	1996	96-90	1982	30	-2.40000009536743	-.150000005960464	-.709999978542328	75232	9951	-23.3500003814697	-47.5	0	.42399999499321	3	-2.5	0	0	-37.1805000305175	1462	-85.7678833007812	1462	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	-3	327	7.30000019073486	10.1899995803833	14.5799999237061	260981	61739	576.530029296875	4185.2001953125	16	.962999999523163	45	17.3999996185303	32.4000015258789	.405000001192093	290.521911621094	19563	45.6944694519043	.0419999994337559	0	0	0	0	0	0	33	0	1	0	120	999	36	180	5	5	0	0	0	0	0	0	1	0	0	1
5	Arkansas	1999	99-96	1983	86	.600000023841858	-.150000005960464	-.75	55291	6288	-62.9500007629394	-344.5	.100000001490116	.560999989509582	1	-.200000002980232	-1.5	.017000000923872	20.8115005493164	1382	-87.0765686035156	1382	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	357	4.90000009536743	10.039999961853	13.8699998855591	336213	71690	553.179992675781	4137.7001953125	16	1.38699996471405	48	14.8999996185303	32.4000015258789	.405000001192093	253.341400146484	21025	40.0734100341797	.0560000017285347	0	0	1	0	0	0	33	1	1	1	120	999	36	180	6	2	0	0	0	0	0	0	0	1	0	1
5	Arkansas	2002	02-99	1984	36	-.400000005960464	.100000001490116	-.0700000002980232	29821	5085	-37.4300003051758	-111.800003051758	-.100000001490116	1.63199996948242	.400000005960464	3.09999990463257	0	0	16.2898998260498	878	-96.7586669921875	878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	5.5	9.89000034332275	13.1199998855591	391504	77978	490.230010986328	3793.19995117187	16.1000003814697	1.94799995422363	49	14.6999998092651	30.8999996185303	.421999990940094	274.152893066406	22407	47.0031585693359	.0649999976158142	1	0	1	0	0	0	33	1	1	1	120	999	36	180	7	2	0	0	0	0	0	0	0	0	1	1
6	California	1975	75-72	1975	-2.90000009536743	.300000011920929	.0700000002980232	3.86999988555908	40600	-5809	92	2093.5	.5	1.10000002384186	.5	-.490000009536743	0	0	14.270899772644	1314	-107.793762207031	1314	0	0	0	0	0	0	66	0	0	0	120	999	24	60	2	0	83.9000015258789	7	13.25	15.3599996566772	237145	60416	518.599975585938	4142.7001953125	7	13.6999998092651	92.6999969482422	11.0299997329712	4.40000009536743	.35699999332428	274.135711669922	17846	54.0147514343262	.090999998152256	1	0	0	0	0	0	999	9	0	0	999	9999	999	999	99	0	0	0	0	0	0	0	0	0	0	1
6	California	1978	78-75	1976	7	.899999976158142	.389999985694885	-2.51999998092651	15197	9228	95.379997253418	66.5	.100000001490116	1.11000001430511	-.200000002980232	1.21000003814697	-.200000002980232	.0149999996647239	-7.66830015182495	1549	-103.511367797852	1549	-1	0	0	1	0	0	0	0	0	0	-84	-939	-8	-24	0	4	81	7.30000019073486	13.3199996948242	19.2299995422363	277745	54607	610.599975585938	6236.2001953125	7.5	14.8000001907349	93.1999969482422	10.539999961853	4.40000009536743	.35699999332428	288.406585693359	19160	53.7790107727051	.090999998152256	1	0	0	0	0	0	66	0	0	0	120	999	24	60	2	0	1	0	0	0	0	0	0	0	0	1
